fname,description,manually_verified,label,id
/home/aagnone/data/dcase2018_gen/00044347.wav,Hi-hat,0,23,00044347
/home/aagnone/data/dcase2018_gen/001ca53d.wav,Saxophone,1,30,001ca53d
/home/aagnone/data/dcase2018_gen/002d256b.wav,Trumpet,0,38,002d256b
/home/aagnone/data/dcase2018_gen/0033e230.wav,Glockenspiel,1,19,0033e230
/home/aagnone/data/dcase2018_gen/00353774.wav,Cello,1,6,00353774
/home/aagnone/data/dcase2018_gen/003b91e8.wav,Cello,0,6,003b91e8
/home/aagnone/data/dcase2018_gen/003da8e5.wav,Knock,1,25,003da8e5
/home/aagnone/data/dcase2018_gen/0048fd00.wav,Gunshot_or_gunfire,1,21,0048fd00
/home/aagnone/data/dcase2018_gen/004ad66f.wav,Clarinet,0,8,004ad66f
/home/aagnone/data/dcase2018_gen/0063ab88.wav,Computer_keyboard,0,9,0063ab88
/home/aagnone/data/dcase2018_gen/006f2f32.wav,Hi-hat,1,23,006f2f32
/home/aagnone/data/dcase2018_gen/0075d39c.wav,Keys_jangling,0,24,0075d39c
/home/aagnone/data/dcase2018_gen/00780200.wav,Snare_drum,0,33,00780200
/home/aagnone/data/dcase2018_gen/0079d310.wav,Writing,0,40,0079d310
/home/aagnone/data/dcase2018_gen/0091fc7f.wav,Cello,1,6,0091fc7f
/home/aagnone/data/dcase2018_gen/0097160c.wav,Laughter,1,26,0097160c
/home/aagnone/data/dcase2018_gen/00ad7068.wav,Laughter,0,26,00ad7068
/home/aagnone/data/dcase2018_gen/00c5808a.wav,Tearing,0,36,00c5808a
/home/aagnone/data/dcase2018_gen/00c82919.wav,Fart,0,15,00c82919
/home/aagnone/data/dcase2018_gen/00c934d7.wav,Laughter,1,26,00c934d7
/home/aagnone/data/dcase2018_gen/00c9e799.wav,Oboe,0,29,00c9e799
/home/aagnone/data/dcase2018_gen/00cb787c.wav,Flute,1,18,00cb787c
/home/aagnone/data/dcase2018_gen/00ce569f.wav,Hi-hat,0,23,00ce569f
/home/aagnone/data/dcase2018_gen/00d1fe46.wav,Cough,0,10,00d1fe46
/home/aagnone/data/dcase2018_gen/00d3bba3.wav,Telephone,1,37,00d3bba3
/home/aagnone/data/dcase2018_gen/00d40fa2.wav,Snare_drum,0,33,00d40fa2
/home/aagnone/data/dcase2018_gen/00d9fa61.wav,Flute,0,18,00d9fa61
/home/aagnone/data/dcase2018_gen/00e2b4cd.wav,Bark,1,2,00e2b4cd
/home/aagnone/data/dcase2018_gen/00f88dc5.wav,Glockenspiel,1,19,00f88dc5
/home/aagnone/data/dcase2018_gen/00fbb28b.wav,Chime,0,7,00fbb28b
