fname,label,manually_verified
/home/aagnone/projects/dcase2018/audio_train/00044347.wav,Hi-hat,0
/home/aagnone/projects/dcase2018/audio_train/001ca53d.wav,Saxophone,1
/home/aagnone/projects/dcase2018/audio_train/002d256b.wav,Trumpet,0
/home/aagnone/projects/dcase2018/audio_train/0033e230.wav,Glockenspiel,1
/home/aagnone/projects/dcase2018/audio_train/00353774.wav,Cello,1
/home/aagnone/projects/dcase2018/audio_train/003b91e8.wav,Cello,0
/home/aagnone/projects/dcase2018/audio_train/003da8e5.wav,Knock,1
/home/aagnone/projects/dcase2018/audio_train/0048fd00.wav,Gunshot_or_gunfire,1
/home/aagnone/projects/dcase2018/audio_train/004ad66f.wav,Clarinet,0
/home/aagnone/projects/dcase2018/audio_train/0063ab88.wav,Computer_keyboard,0
/home/aagnone/projects/dcase2018/audio_train/006f2f32.wav,Hi-hat,1
/home/aagnone/projects/dcase2018/audio_train/0075d39c.wav,Keys_jangling,0
/home/aagnone/projects/dcase2018/audio_train/00780200.wav,Snare_drum,0
/home/aagnone/projects/dcase2018/audio_train/0079d310.wav,Writing,0
/home/aagnone/projects/dcase2018/audio_train/0091fc7f.wav,Cello,1
/home/aagnone/projects/dcase2018/audio_train/0097160c.wav,Laughter,1
/home/aagnone/projects/dcase2018/audio_train/00ad7068.wav,Laughter,0
/home/aagnone/projects/dcase2018/audio_train/00c5808a.wav,Tearing,0
/home/aagnone/projects/dcase2018/audio_train/00c82919.wav,Fart,0
/home/aagnone/projects/dcase2018/audio_train/00c934d7.wav,Laughter,1
/home/aagnone/projects/dcase2018/audio_train/00c9e799.wav,Oboe,0
/home/aagnone/projects/dcase2018/audio_train/00cb787c.wav,Flute,1
/home/aagnone/projects/dcase2018/audio_train/00ce569f.wav,Hi-hat,0
/home/aagnone/projects/dcase2018/audio_train/00d1fe46.wav,Cough,0
/home/aagnone/projects/dcase2018/audio_train/00d3bba3.wav,Telephone,1
/home/aagnone/projects/dcase2018/audio_train/00d40fa2.wav,Snare_drum,0
/home/aagnone/projects/dcase2018/audio_train/00d9fa61.wav,Flute,0
/home/aagnone/projects/dcase2018/audio_train/00e2b4cd.wav,Bark,1
/home/aagnone/projects/dcase2018/audio_train/00f88dc5.wav,Glockenspiel,1
/home/aagnone/projects/dcase2018/audio_train/00fbb28b.wav,Chime,0
/home/aagnone/projects/dcase2018/audio_train/00fcbab2.wav,Bass_drum,0
/home/aagnone/projects/dcase2018/audio_train/010aa387.wav,Fart,0
/home/aagnone/projects/dcase2018/audio_train/011a2185.wav,Cello,1
/home/aagnone/projects/dcase2018/audio_train/0120d246.wav,Bus,0
/home/aagnone/projects/dcase2018/audio_train/01235a12.wav,Squeak,0
/home/aagnone/projects/dcase2018/audio_train/01257aad.wav,Scissors,1
/home/aagnone/projects/dcase2018/audio_train/01302128.wav,Harmonica,0
/home/aagnone/projects/dcase2018/audio_train/013264d3.wav,Squeak,0
/home/aagnone/projects/dcase2018/audio_train/013c3135.wav,Clarinet,0
/home/aagnone/projects/dcase2018/audio_train/01506d76.wav,Scissors,0
/home/aagnone/projects/dcase2018/audio_train/015cf474.wav,Clarinet,0
/home/aagnone/projects/dcase2018/audio_train/0160d55e.wav,Gong,1
/home/aagnone/projects/dcase2018/audio_train/01638f61.wav,Writing,0
/home/aagnone/projects/dcase2018/audio_train/0172a2a5.wav,Microwave_oven,1
/home/aagnone/projects/dcase2018/audio_train/017ea24e.wav,Burping_or_eructation,0
/home/aagnone/projects/dcase2018/audio_train/01811e48.wav,Harmonica,0
/home/aagnone/projects/dcase2018/audio_train/0184c390.wav,Cello,0
/home/aagnone/projects/dcase2018/audio_train/018863f5.wav,Double_bass,0
/home/aagnone/projects/dcase2018/audio_train/018a10bb.wav,Double_bass,0
/home/aagnone/projects/dcase2018/audio_train/018b1df6.wav,Shatter,1
/home/aagnone/projects/dcase2018/audio_train/018d1dc4.wav,Hi-hat,0
/home/aagnone/projects/dcase2018/audio_train/0193042e.wav,Fireworks,0
/home/aagnone/projects/dcase2018/audio_train/01974c7c.wav,Hi-hat,0
/home/aagnone/projects/dcase2018/audio_train/019aae9d.wav,Fireworks,0
/home/aagnone/projects/dcase2018/audio_train/019d2a2c.wav,Bark,1
/home/aagnone/projects/dcase2018/audio_train/01a36643.wav,Tambourine,0
/home/aagnone/projects/dcase2018/audio_train/01a39e95.wav,Shatter,0
/home/aagnone/projects/dcase2018/audio_train/01a59a61.wav,Gong,0
/home/aagnone/projects/dcase2018/audio_train/01a59c11.wav,Harmonica,1
/home/aagnone/projects/dcase2018/audio_train/01a5dc85.wav,Double_bass,0
/home/aagnone/projects/dcase2018/audio_train/01b9f44a.wav,Telephone,1
/home/aagnone/projects/dcase2018/audio_train/01c2f88b.wav,Bass_drum,1
/home/aagnone/projects/dcase2018/audio_train/01d2475c.wav,Writing,0
/home/aagnone/projects/dcase2018/audio_train/01d4dafd.wav,Harmonica,1
/home/aagnone/projects/dcase2018/audio_train/01df7ada.wav,Shatter,0
/home/aagnone/projects/dcase2018/audio_train/01e723f5.wav,Harmonica,1
/home/aagnone/projects/dcase2018/audio_train/01ec7a01.wav,Tearing,0
/home/aagnone/projects/dcase2018/audio_train/01ee18fd.wav,Microwave_oven,1
/home/aagnone/projects/dcase2018/audio_train/01f2e70b.wav,Gunshot_or_gunfire,1
/home/aagnone/projects/dcase2018/audio_train/01fc4661.wav,Oboe,1
/home/aagnone/projects/dcase2018/audio_train/020eb9f6.wav,Bark,1
/home/aagnone/projects/dcase2018/audio_train/021f8009.wav,Fart,0
/home/aagnone/projects/dcase2018/audio_train/022092bc.wav,Keys_jangling,0
/home/aagnone/projects/dcase2018/audio_train/02267a1a.wav,Squeak,0
/home/aagnone/projects/dcase2018/audio_train/02274ee8.wav,Burping_or_eructation,0
/home/aagnone/projects/dcase2018/audio_train/022a3507.wav,Bus,1
/home/aagnone/projects/dcase2018/audio_train/022cc908.wav,Knock,1
/home/aagnone/projects/dcase2018/audio_train/0231b9f3.wav,Double_bass,0
/home/aagnone/projects/dcase2018/audio_train/02328c03.wav,Computer_keyboard,0
/home/aagnone/projects/dcase2018/audio_train/0236dccb.wav,Cowbell,0
/home/aagnone/projects/dcase2018/audio_train/023d3434.wav,Microwave_oven,0
/home/aagnone/projects/dcase2018/audio_train/0244bb9e.wav,Fireworks,0
/home/aagnone/projects/dcase2018/audio_train/024a193f.wav,Laughter,1
/home/aagnone/projects/dcase2018/audio_train/024c4c6d.wav,Bass_drum,1
/home/aagnone/projects/dcase2018/audio_train/024da466.wav,Tambourine,1
/home/aagnone/projects/dcase2018/audio_train/0256c2f2.wav,Keys_jangling,1
/home/aagnone/projects/dcase2018/audio_train/0259e5d2.wav,Hi-hat,0
/home/aagnone/projects/dcase2018/audio_train/025f3fd2.wav,Hi-hat,1
/home/aagnone/projects/dcase2018/audio_train/025f7eac.wav,Knock,1
/home/aagnone/projects/dcase2018/audio_train/0262817d.wav,Fart,0
/home/aagnone/projects/dcase2018/audio_train/0266774c.wav,Cowbell,0
/home/aagnone/projects/dcase2018/audio_train/027482e2.wav,Electric_piano,1
/home/aagnone/projects/dcase2018/audio_train/027aa77c.wav,Clarinet,1
/home/aagnone/projects/dcase2018/audio_train/027aee2a.wav,Fireworks,1
/home/aagnone/projects/dcase2018/audio_train/027cd3fd.wav,Meow,1
/home/aagnone/projects/dcase2018/audio_train/0286fc27.wav,Double_bass,1
/home/aagnone/projects/dcase2018/audio_train/029632ad.wav,Cello,0
/home/aagnone/projects/dcase2018/audio_train/029b22f3.wav,Keys_jangling,0
/home/aagnone/projects/dcase2018/audio_train/029ee867.wav,Gunshot_or_gunfire,1
/home/aagnone/projects/dcase2018/audio_train/02a3243a.wav,Telephone,1
/home/aagnone/projects/dcase2018/audio_train/02ac1057.wav,Flute,0
/home/aagnone/projects/dcase2018/audio_train/02c095b4.wav,Tearing,0
/home/aagnone/projects/dcase2018/audio_train/02c9a1f1.wav,Writing,0
/home/aagnone/projects/dcase2018/audio_train/02d367e4.wav,Clarinet,1
/home/aagnone/projects/dcase2018/audio_train/02d6b747.wav,Cough,1
/home/aagnone/projects/dcase2018/audio_train/02d7fba3.wav,Double_bass,0
/home/aagnone/projects/dcase2018/audio_train/02dbfc78.wav,Cello,0
/home/aagnone/projects/dcase2018/audio_train/02e9392e.wav,Tambourine,1
/home/aagnone/projects/dcase2018/audio_train/02eed858.wav,Harmonica,1
/home/aagnone/projects/dcase2018/audio_train/02f8e94d.wav,Clarinet,0
/home/aagnone/projects/dcase2018/audio_train/0313ea1a.wav,Flute,0
/home/aagnone/projects/dcase2018/audio_train/032f7280.wav,Drawer_open_or_close,0
/home/aagnone/projects/dcase2018/audio_train/03320f05.wav,Applause,0
/home/aagnone/projects/dcase2018/audio_train/0338f669.wav,Cello,0
/home/aagnone/projects/dcase2018/audio_train/034beca1.wav,Fireworks,0
/home/aagnone/projects/dcase2018/audio_train/034e4ffa.wav,Trumpet,0
/home/aagnone/projects/dcase2018/audio_train/0350156b.wav,Keys_jangling,0
/home/aagnone/projects/dcase2018/audio_train/0356dec7.wav,Acoustic_guitar,1
/home/aagnone/projects/dcase2018/audio_train/0356f2ab.wav,Tambourine,0
/home/aagnone/projects/dcase2018/audio_train/03586ad9.wav,Cowbell,0
/home/aagnone/projects/dcase2018/audio_train/03657d6d.wav,Shatter,0
/home/aagnone/projects/dcase2018/audio_train/03734652.wav,Squeak,0
/home/aagnone/projects/dcase2018/audio_train/0383c69d.wav,Chime,0
/home/aagnone/projects/dcase2018/audio_train/0395ba61.wav,Oboe,0
/home/aagnone/projects/dcase2018/audio_train/03a01285.wav,Knock,1
/home/aagnone/projects/dcase2018/audio_train/03b4aca1.wav,Meow,1
/home/aagnone/projects/dcase2018/audio_train/03bb1c33.wav,Glockenspiel,1
/home/aagnone/projects/dcase2018/audio_train/03bc8fbc.wav,Shatter,0
/home/aagnone/projects/dcase2018/audio_train/03cd971f.wav,Cowbell,0
/home/aagnone/projects/dcase2018/audio_train/03d00f38.wav,Knock,0
/home/aagnone/projects/dcase2018/audio_train/03d42e2e.wav,Double_bass,0
/home/aagnone/projects/dcase2018/audio_train/03e13ae7.wav,Trumpet,0
/home/aagnone/projects/dcase2018/audio_train/03e88255.wav,Electric_piano,0
