,fname,label,manually_verified
0,00044347.wav,Hi-hat,0
2,002d256b.wav,Trumpet,0
5,003b91e8.wav,Cello,0
8,004ad66f.wav,Clarinet,0
9,0063ab88.wav,Computer_keyboard,0
11,0075d39c.wav,Keys_jangling,0
12,00780200.wav,Snare_drum,0
13,0079d310.wav,Writing,0
16,00ad7068.wav,Laughter,0
17,00c5808a.wav,Tearing,0
18,00c82919.wav,Fart,0
20,00c9e799.wav,Oboe,0
22,00ce569f.wav,Hi-hat,0
23,00d1fe46.wav,Cough,0
25,00d40fa2.wav,Snare_drum,0
26,00d9fa61.wav,Flute,0
29,00fbb28b.wav,Chime,0
30,00fcbab2.wav,Bass_drum,0
31,010aa387.wav,Fart,0
33,0120d246.wav,Bus,0
34,01235a12.wav,Squeak,0
36,01302128.wav,Harmonica,0
37,013264d3.wav,Squeak,0
38,013c3135.wav,Clarinet,0
39,01506d76.wav,Scissors,0
40,015cf474.wav,Clarinet,0
42,01638f61.wav,Writing,0
44,017ea24e.wav,Burping_or_eructation,0
45,01811e48.wav,Harmonica,0
46,0184c390.wav,Cello,0
47,018863f5.wav,Double_bass,0
48,018a10bb.wav,Double_bass,0
50,018d1dc4.wav,Hi-hat,0
51,0193042e.wav,Fireworks,0
52,01974c7c.wav,Hi-hat,0
53,019aae9d.wav,Fireworks,0
55,01a36643.wav,Tambourine,0
56,01a39e95.wav,Shatter,0
57,01a59a61.wav,Gong,0
59,01a5dc85.wav,Double_bass,0
62,01d2475c.wav,Writing,0
64,01df7ada.wav,Shatter,0
66,01ec7a01.wav,Tearing,0
71,021f8009.wav,Fart,0
72,022092bc.wav,Keys_jangling,0
73,02267a1a.wav,Squeak,0
74,02274ee8.wav,Burping_or_eructation,0
77,0231b9f3.wav,Double_bass,0
78,02328c03.wav,Computer_keyboard,0
79,0236dccb.wav,Cowbell,0
80,023d3434.wav,Microwave_oven,0
81,0244bb9e.wav,Fireworks,0
86,0259e5d2.wav,Hi-hat,0
89,0262817d.wav,Fart,0
90,0266774c.wav,Cowbell,0
96,029632ad.wav,Cello,0
97,029b22f3.wav,Keys_jangling,0
100,02ac1057.wav,Flute,0
101,02c095b4.wav,Tearing,0
102,02c9a1f1.wav,Writing,0
105,02d7fba3.wav,Double_bass,0
106,02dbfc78.wav,Cello,0
109,02f8e94d.wav,Clarinet,0
110,0313ea1a.wav,Flute,0
111,032f7280.wav,Drawer_open_or_close,0
112,03320f05.wav,Applause,0
113,0338f669.wav,Cello,0
114,034beca1.wav,Fireworks,0
115,034e4ffa.wav,Trumpet,0
116,0350156b.wav,Keys_jangling,0
118,0356f2ab.wav,Tambourine,0
119,03586ad9.wav,Cowbell,0
120,03657d6d.wav,Shatter,0
121,03734652.wav,Squeak,0
122,0383c69d.wav,Chime,0
123,0395ba61.wav,Oboe,0
127,03bc8fbc.wav,Shatter,0
128,03cd971f.wav,Cowbell,0
129,03d00f38.wav,Knock,0
130,03d42e2e.wav,Double_bass,0
131,03e13ae7.wav,Trumpet,0
132,03e88255.wav,Electric_piano,0
133,03e9765d.wav,Drawer_open_or_close,0
134,03ed9ba8.wav,Oboe,0
135,03f38c68.wav,Hi-hat,0
137,04076350.wav,Clarinet,0
138,04092b14.wav,Gong,0
141,04281949.wav,Tearing,0
142,0429828b.wav,Fireworks,0
143,04330b10.wav,Squeak,0
144,04335030.wav,Trumpet,0
145,043a5393.wav,Electric_piano,0
147,0447d04d.wav,Laughter,0
